target_index,variant,solver_status,success,pos_err_m,rot_err_rad,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,arm_cold,ok,true,0.000000186097536,0.000000118532189,-4.831444820156954,-2.152805643784838,1.817705591431228,-5.756547883607172,-5.202388252120654,-2.662240901180494
0,arm_restarts,ok,true,0.000000186097536,0.000000118532189,-4.831444820156954,-2.152805643784838,1.817705591431228,-5.756547883607172,-5.202388252120654,-2.662240901180494
0,k_cold,not_converged,false,,,,,,,,
0,k_restarts,ok,true,0.000089944066389,0.000088083795690,-4.831493302420141,-0.150148991147837,-2.383389176935118,-0.416501807566432,5.202406457063010,0.479418863045698
1,arm_cold,ok,true,0.000000043832940,0.000000321475947,-3.905292011412216,-1.247374980561967,2.677584993026198,-4.210823381972258,-2.018554735706938,-5.242334506424029
1,arm_restarts,ok,true,0.000000043832940,0.000000321475947,-3.905292011412216,-1.247374980561967,2.677584993026198,-4.210823381972258,-2.018554735706938,-5.242334506424029
1,k_cold,not_converged,false,,,,,,,,
1,k_restarts,ok,true,0.000057996945739,0.000153755502687,-3.905292314343902,1.091605844156093,-2.677730613681012,-1.194534059266764,4.264667849968078,1.040974507787082
2,arm_cold,ok,true,0.000003509528675,0.000023675758665,-3.296348946485469,-1.423649117508234,2.456313828877982,-0.248340880572159,-2.755748374051386,2.310278616432254
2,arm_restarts,ok,true,0.000003509528675,0.000023675758665,-3.296348946485469,-1.423649117508234,2.456313828877982,-0.248340880572159,-2.755748374051386,2.310278616432254
2,k_cold,ok,true,0.000066407902511,0.000361067610938,-3.296309179921366,-1.423778532420459,2.456506873677796,-0.248244054185207,-2.755974152188108,2.310205008801281
2,k_restarts,ok,true,0.000066407902511,0.000361067610938,-3.296309179921366,-1.423778532420459,2.456506873677796,-0.248244054185207,-2.755974152188108,2.310205008801281
3,arm_cold,ok,true,0.000008135706225,0.000008327784936,-3.438313305674110,0.965138586869851,0.737255788429610,0.979266149606452,1.291516044486368,-4.392677095040548
3,arm_restarts,ok,true,0.000008135706225,0.000008327784936,-3.438313305674110,0.965138586869851,0.737255788429610,0.979266149606452,1.291516044486368,-4.392677095040548
3,k_cold,not_converged,false,,,,,,,,
3,k_restarts,not_converged,false,,,,,,,,
4,arm_cold,ok,true,0.000002417803239,0.000001558473258,-2.103591701378904,-2.959135445903358,2.761975052565703,-1.412040433445329,-1.590910369689650,-0.009426892878741
4,arm_restarts,ok,true,0.000002417803239,0.000001558473258,-2.103591701378904,-2.959135445903358,2.761975052565703,-1.412040433445329,-1.590910369689650,-0.009426892878741
4,k_cold,ok,true,0.000064794375137,0.000064023318436,-2.102733886578324,-2.958237220100284,2.762071532830661,-1.413014135795309,-1.590942778475179,-0.008633433469084
4,k_restarts,ok,true,0.000064794375137,0.000064023318436,-2.102733886578324,-2.958237220100284,2.762071532830661,-1.413014135795309,-1.590942778475179,-0.008633433469084
5,arm_cold,ok,true,0.000000062358751,0.000000001714192,-3.640107947582250,-0.292261975906558,2.179371029853037,-4.243898754840490,-2.371561009066427,-4.272164448293050
5,arm_restarts,ok,true,0.000000062358751,0.000000001714192,-3.640107947582250,-0.292261975906558,2.179371029853037,-4.243898754840490,-2.371561009066427,-4.272164448293050
5,k_cold,not_converged,false,,,,,,,,
