scene,scene_file,query_index,replicate,seed,in_house_status,oxmpl_status,oxmpl_detail,oxmpl_elapsed_ms,oxmpl_waypoints,oxmpl_path_cost_rad,oxmpl_path_sha256
open_floor,scene.xml,13,3,202608180133,failed,timeout,solve_timeout,250.02661100,0,0.00000000,
open_floor,scene.xml,13,4,202608180134,failed,timeout,solve_timeout,250.04041200,0,0.00000000,
open_floor,scene.xml,14,0,202608180140,failed,timeout,solve_timeout,250.04105200,0,0.00000000,
open_floor,scene.xml,14,1,202608180141,failed,timeout,solve_timeout,250.02124200,0,0.00000000,
open_floor,scene.xml,14,2,202608180142,failed,timeout,solve_timeout,250.03915200,0,0.00000000,
open_floor,scene.xml,14,3,202608180143,failed,timeout,solve_timeout,250.00454200,0,0.00000000,
open_floor,scene.xml,14,4,202608180144,failed,timeout,solve_timeout,250.03001200,0,0.00000000,
open_floor,scene.xml,15,0,202608180150,success,success,validated,19.12686800,151,37.50000000,7ebd9318d77d0422bea4ec23b3303dfe32940a461e27403bfa99f6558c5c40ed
open_floor,scene.xml,15,1,202608180151,success,success,validated,12.26064900,138,34.25000000,50bd3d65303665f1704a5971438db34811eb42cebcab5f475aec6bd5e815747c
open_floor,scene.xml,15,2,202608180152,success,success,validated,10.28760200,132,32.75000000,e8dfca7bbb745dcf6d95ba83f87bfd60c3b5265b8eae9e0b10bb63153e24329d
open_floor,scene.xml,15,3,202608180153,success,success,validated,2.72858500,68,16.70204445,960cea399860583dd838223fd93e1d90b4bcbae54e7ff3f608bd7d759aac4144
open_floor,scene.xml,15,4,202608180154,success,success,validated,3.22475500,65,15.93692591,d6742b9b8b027c5980f9fd071dc3336b62598b6414cd6dd08511e2501fc4a805
open_floor,scene.xml,16,0,202608180160,failed,timeout,solve_timeout,250.01942200,0,0.00000000,
open_floor,scene.xml,16,1,202608180161,failed,timeout,solve_timeout,250.00604300,0,0.00000000,
open_floor,scene.xml,16,2,202608180162,failed,timeout,solve_timeout,250.04989200,0,0.00000000,
open_floor,scene.xml,16,3,202608180163,failed,timeout,solve_timeout,250.03266200,0,0.00000000,
open_floor,scene.xml,16,4,202608180164,failed,timeout,solve_timeout,250.01252200,0,0.00000000,
open_floor,scene.xml,17,0,202608180170,failed,timeout,solve_timeout,250.01333200,0,0.00000000,
open_floor,scene.xml,17,1,202608180171,failed,timeout,solve_timeout,250.02946200,0,0.00000000,
open_floor,scene.xml,17,2,202608180172,failed,timeout,solve_timeout,250.05168200,0,0.00000000,
open_floor,scene.xml,17,3,202608180173,failed,timeout,solve_timeout,250.00066300,0,0.00000000,
open_floor,scene.xml,17,4,202608180174,failed,timeout,solve_timeout,250.01957200,0,0.00000000,
open_floor,scene.xml,18,0,202608180180,failed,timeout,solve_timeout,250.03567200,0,0.00000000,
open_floor,scene.xml,18,1,202608180181,failed,timeout,solve_timeout,250.03293200,0,0.00000000,
open_floor,scene.xml,18,2,202608180182,failed,timeout,solve_timeout,250.03444200,0,0.00000000,
open_floor,scene.xml,18,3,202608180183,failed,timeout,solve_timeout,250.03373200,0,0.00000000,
